Object,Confidence,Timestamp (s)
person,0.9,67.44
bowl,0.56,67.44
bottle,0.37,67.44
cup,0.3,67.44
bowl,0.25,67.44
person,0.9,73.52
person,0.81,79.61
bottle,0.34,79.61
cup,0.28,79.61
person,0.86,85.7
bottle,0.31,85.7
cup,0.28,85.7
cup,0.25,85.7
person,0.74,91.78
cup,0.34,91.78
bowl,0.27,91.78
bottle,0.25,91.78
person,0.89,97.87
cup,0.39,97.87
bowl,0.38,97.87
bottle,0.35,97.87
bowl,0.34,103.96
cup,0.28,103.96
bottle,0.32,110.04
cup,0.27,110.04
bowl,0.26,110.04
cup,0.26,110.04
bottle,0.32,116.13
bowl,0.28,116.13
person,0.79,122.22
cup,0.34,122.22
cup,0.31,122.22
bottle,0.3,122.22
bowl,0.28,122.22
cup,0.26,122.22
bottle,0.34,128.3
bottle,0.32,134.4
bottle,0.38,140.48
cup,0.27,140.48
bottle,0.34,146.56
cup,0.28,146.56
bottle,0.26,152.65
bottle,0.28,158.74
cup,0.25,158.74
